#Digilent WaveForms Oscilloscope Acquisition,,,,,,
#Device Name: ADP5250-323F81C,,,,,,
#Serial Number: SN:323F81C,,,,,,
#Date Time: 2023-02-10 16:54:37.530.963.799,,,,,,
#Sample rate: 2.97619e+06Hz,,,,,,
#Samples: 32768,,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto,,,,,,
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full Sample Mode: Average,,,,,,
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Coupling: DC Bandwidth: Full,,,,,,
,,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,,
-0.005400802,2.716049383,-0.008230453,,,,
-0.005400466,0.905349794,0,,,,
-0.00540013,-0.082304527,0,,,,
-0.005399794,0,0,,,,
-0.005399458,1.152263374,0,,,,
-0.005399122,2.633744856,0,,,,
-0.005398786,2.469135802,0,,,,
-0.00539845,0.658436214,0,,,,
-0.005398114,-1.893004115,0,,,,
-0.005397778,-3.29218107,0,,,,
-0.005397442,-4.362139918,0,,,,
-0.005397106,-3.374485597,0,,,,
-0.00539677,-5.102880658,0,,,,
-0.005396434,-3.78600823,0,,,,
-0.005396098,-0.576131687,0,,,,
-0.005395762,8.08E-12,0,,,,
-0.005395426,4.444444444,0,,,,
-0.00539509,4.279835391,-0.008230453,,,,
-0.005394754,4.362139918,0,,,,
-0.005394418,3.621399177,0,,,,
-0.005394082,0.164609053,0,,,,
-0.005393746,-2.880658436,0,,,,
-0.00539341,-4.197530864,0,,,,
-0.005393074,-4.032921811,0,,,,
-0.005392738,-4.115226337,0,,,,
-0.005392402,-4.115226337,0,,,,
-0.005392066,-2.057613169,0,,,,
-0.00539173,0.329218107,0,,,,
-0.005391394,1.234567901,0,,,,
-0.005391058,0.987654321,0,,,,
-0.005390722,1.975308642,0,,,,
-0.005390386,3.29218107,0,,,,
-0.00539005,3.703703704,0,,,,
-0.005389714,2.880658436,0,,,,
-0.005389378,1.481481481,0,,,,
-0.005389042,1.646090535,0,,,,
-0.005388706,4.444444444,0,,,,
-0.00538837,4.362139918,0,,,,
-0.005388034,4.444444444,0,,,,
-0.005387698,-0.658436214,0,,,,
-0.005387362,-4.032921811,0,,,,
-0.005387026,-3.868312757,0,,,,
-0.00538669,-3.04526749,0,,,,
-0.005386354,-2.716049383,0,,,,
-0.005386018,-1.481481481,0,,,,
-0.005385682,0.658436214,0,,,,
-0.005385346,1.069958848,0,,,,
-0.00538501,1.728395062,0,,,,
-0.005384674,4.362139918,0,,,,
-0.005384338,4.362139918,0,,,,
-0.005384002,4.444444444,0,,,,
-0.005383666,4.444444444,0,,,,
-0.00538333,2.798353909,0,,,,
-0.005382994,0,0,,,,
-0.005382658,-1.893004115,0,,,,
