Time (s),Channel 1 (V)
-0.006158766,-3.950617284
-0.006158266,-3.29218107
-0.006157766,-0.411522634
-0.006157266,0.987654321
-0.006156766,1.152263374
-0.006156266,0.987654321
-0.006155766,0.740740741
-0.006155266,0.329218107
-0.006154766,0.082304527
-0.006154266,-0.164609053
-0.006153766,-0.164609053
-0.006153266,-0.082304527
-0.006152766,0
-0.006152266,0.082304527
-0.006151766,-0.24691358
-0.006151266,0.987654321
-0.006150766,4.362139918
-0.006150266,2.304526749
-0.006149766,-0.740740741
-0.006149266,-0.740740741
-0.006148766,-3.950617284
-0.006148266,-3.950617284
-0.006147766,-4.032921811
-0.006147266,-0.329218107
-0.006146766,0.987654321
-0.006146266,0
-0.006145766,0.164609053
-0.006145266,1.646090535
-0.006144766,4.115226337
-0.006144266,4.444444444
-0.006143766,3.950617284
-0.006143266,1.810699588
-0.006142766,-0.905349794
-0.006142266,4.526748971
-0.006141766,4.115226337
-0.006141266,-0.24691358
-0.006140766,-4.032921811
-0.006140266,-2.716049383
-0.006139766,-3.703703704
-0.006139266,0
-0.006138766,2.386831276
-0.006138266,4.444444444
-0.006137766,4.526748971
-0.006137266,3.209876543
-0.006136766,-2.222222222
-0.006136266,-3.950617284
-0.006135766,-3.950617284
-0.006135266,-3.703703704
-0.006134766,-0.823045267
-0.006134266,0.905349794
-0.006133766,1.152263374
-0.006133266,1.069958848
-0.006132766,0.740740741
-0.006132266,0.49382716
-0.006131766,0.082304527
-0.006131266,-0.164609053
-0.006130766,0.329218107
-0.006130266,-0.49382716
-0.006129766,0.082304527
-0.006129266,0
-0.006128766,0.082304527
-0.006128266,0.164609053
-0.006127766,4.444444444
-0.006127266,4.444444444
-0.006126766,0.329218107
-0.006126266,-0.987654321
-0.006125766,-3.374485597
-0.006125266,-3.950617284
-0.006124766,-3.950617284
-0.006124266,-1.728395062
-0.006123766,0.987654321
-0.006123266,0.411522634
-0.006122766,-0.411522634
-0.006122266,1.728395062
-0.006121766,4.444444444
-0.006121266,4.032921811
-0.006120766,2.139917695
-0.006120266,1.152263374
-0.006119766,1.563786008
-0.006119266,2.962962963
-0.006118766,4.444444444
-0.006118266,0.823045267
-0.006117766,-3.29218107
-0.006117266,-4.032921811
